song_id,song_name,artist_name,artist_uri,album_name,album_uri,danceability,energy,valence,tempo,artist_popularity,degree_centrality
spotify:track:0O45fw2L5vsWpdsOdXwNAR,SexyBack,Justin Timberlake,spotify:artist:31TPClRtHm23RisEBtV3X7,FutureSex/LoveSounds,spotify:album:2scB1uhcCI1TSf6b9TCZK3,0.967,0.583,0.964,117,83,0.031716418
spotify:track:6gOirCUz62z0mFhCJ6P5KC,Jamming,Bob Marley & The Wailers,spotify:artist:2QsynagSdAqZj3U9HgDzjD,Exodus,spotify:album:3q8y9MBuOdOzwJb8QJfwBG,0.934,0.467,0.73,123.583,83,0.018656716
spotify:track:0srwKuJPH8yBzzFUJMBQM2,Rack City,Tyga,spotify:artist:5LHRHt1k9lMyONurDHEdrp,Careless World: Rise Of The Last King,spotify:album:3KHamR7LZmFT0xqPA1Hyob,0.929,0.339,0.273,98.986,78,0.031716418
spotify:track:5ChkMS8OtdzJeqyybCc9R5,Billie Jean,Michael Jackson,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Thriller 25 Super Deluxe Edition,spotify:album:1C2h7mLntPSeVYciMRTF4a,0.92,0.654,0.847,117.046,83,0.031716418
spotify:track:5TqBAOIBe0bQA0spNdcG3k,For Free,DJ Khaled,spotify:artist:0QHgL1lAIqAw0HtD7YldmP,Major Key,spotify:album:5qHyKDjwycRj1fJyPLt2HQ,0.916,0.571,0.498,103.521,75,0.048507463
spotify:track:7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,DAMN.,spotify:album:4eLPsYPBmXABThSJ821sqY,0.908,0.621,0.421,150.011,90,0.063432836
spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Without Me,Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,The Eminem Show,spotify:album:2cWBwpqMsDJC1ZUwz813lo,0.908,0.669,0.662,112.238,90,0.031716418
spotify:track:7BMO7O7ImjV8HNTH74Tshv,Cleanin' Out My Closet,Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,The Eminem Show,spotify:album:2cWBwpqMsDJC1ZUwz813lo,0.908,0.758,0.87,148.015,90,0.031716418
spotify:track:62LJFaYihsdVrrkgUOJC05,Kiss,Prince,spotify:artist:5a2EaR3hamoenG9rDuVn8j,Parade - Music From The Motion Picture Under The Cherry Moon,spotify:album:54DjkEN3wdCQgfCTZ9WjdB,0.898,0.271,0.742,111.485,70,0.095149254
spotify:track:16qYlQ6koFxYVbiJbGHblz,G.O.M.D.,J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,2014 Forest Hills Drive,spotify:album:7viNUmZZ8ztn2UB4XB3jIL,0.89,0.393,0.304,128.084,88,0.02238806
spotify:track:4Z3qm2aWGTJuJKnv3EWwyD,Hide Away,Daya,spotify:artist:6Dd3NScHWwnW6obMFbl1BH,"Sit Still, Look Pretty",spotify:album:2cE2eOy7alOZHpuelJEV8Q,0.886,0.818,0.469,95.05,69,0.048507463
spotify:track:7yyRTcZmCiyzzJlNzGC9Ol,Broccoli (feat. Lil Yachty),DRAM,spotify:artist:5M0lbkGluOPXLeFjApw8r8,Big Baby DRAM,spotify:album:0NrZHZ0y5kTO8EHliuUUca,0.886,0.525,0.708,145.99,58,0.069029851
spotify:track:7cGFbx7MP0H23iHZTZpqMM,Everybody,Logic,spotify:artist:4xRYI6VqpkE3UwrDrAZL8L,Everybody,spotify:album:1HiN2YXZcc3EjmVZ4WjfBk,0.885,0.94,0.773,110.005,74,0.063432836
spotify:track:4G2Hbfwvn3oH7LxxPXjjGn,Treasure,Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C,Unorthodox Jukebox,spotify:album:4xWulj18AGahlyuZPulaGe,0.874,0.687,0.92,116.054,89,0.018656716
spotify:track:7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,XXXTENTACION,spotify:artist:15UsOTVnJzReFVN1VCnxy4,17,spotify:album:5VdyJkLe3yvOs0l4xXbWp0,0.872,0.391,0.437,134.021,86,0.059701493
spotify:track:3iVAyrTlbWGBq0laeQ18z2,Walking On A Dream,Empire of the Sun,spotify:artist:67hb7towEyKvt5Z8Bx306c,Walking On A Dream,spotify:album:6cMiYjMZ7ltJC3OyljYJO6,0.87,0.699,0.726,126.967,76,0.029850746
spotify:track:2mqDi8BzmNw54qrVHduyiu,Dessert - Remix,Dawin,spotify:artist:46GXASE9LHzyssNqKOInUu,Dessert,spotify:album:0o4z4FBdj8ydhzcKyy62os,0.867,0.787,0.682,97.011,49,0.039179104
spotify:track:55OdqrG8WLmsYyY1jijD9b,Wyclef Jean,Young Thug,spotify:artist:50co4Is1HCEo8bhOyUWKpn,JEFFERY,spotify:album:7EpUpNUkkEGnaCvkcn1j4H,0.863,0.576,0.832,132.054,84,0.063432836
spotify:track:79cuOz3SPQTuFrp8WgftAu,There's Nothing Holdin' Me Back,Shawn Mendes,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,Illuminate,spotify:album:5yYFrOnqG8cEciKnsxHz2r,0.857,0.8,0.966,121.996,82,0.031716418
spotify:track:0Dc7J9VPV4eOInoxUiZrsL,Don't Tell 'Em,Jeremih,spotify:artist:3KV3p5EY4AvKxOlhGHORLg,Late Nights: The Album,spotify:album:7DMyQuDPe8xzjC0UDSDa96,0.856,0.527,0.386,98.052,73,0.09141791
spotify:track:32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk,Mark Ronson,spotify:artist:3hv9jJF3adDNsBSIQDqcjp,Uptown Special,spotify:album:3vLaOYCNCzngDf8QdBg2V1,0.856,0.609,0.928,114.988,75,0.018656716
spotify:track:4hEl2wrneFEJbJ6SDYWd2f,Not Afraid,Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,Recovery,spotify:album:3PogVmhNucYNfyywZvTd7F,0.854,0.954,0.67,114.609,90,0.080223881
spotify:track:0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C,24K Magic,spotify:album:4PgleR09JVnm3zY1fW3XBA,0.853,0.56,0.86,134.066,89,0.048507463
spotify:track:67iAlVNDDdddxqSD2EZhFs,I'm Gonna Be (500 Miles),The Proclaimers,spotify:artist:1A92IAcd7A6npCA33oGM5i,Sunshine On Leith,spotify:album:5sK78apv4yOoXjxRL4kOdJ,0.851,0.551,0.807,131.922,63,0.050373134
spotify:track:1QV6tiMFM6fSOKOGLMHYYg,Poker Face,Lady Gaga,spotify:artist:1HY2Jd0NmPuamShAr6KMms,The Fame,spotify:album:1qwlxZTNLe1jq3b0iidlue,0.851,0.806,0.787,118.999,85,0.031716418
