song_id,song_name,artist_name,artist_uri,album_name,album_uri
spotify:track:4HGIPyqDxSf863tPOwXiLJ,"Kiss the Girl - From ""The Little Mermaid""/Soundtrack Version",Samuel E. Wright,spotify:artist:6Id8rcDNyBXPcgKQVfQ8rX,Little Mermaid,spotify:album:4aAwvCRNJIqiUGVEjieWv6
spotify:track:0dPBlz8N0veeceejtuvpPz,ILYSB,LANY,spotify:artist:49tQo2QULno7gxHutgccqF,LANY,spotify:album:2hVTFTbeg9QhXGZAY99oRa
spotify:track:4cxMGhkinTocPSVVKWIw0d,Losin Control,Russ,spotify:artist:1z7b1Pr1rSlvWRzsW3HOrS,There's Really A Wolf,spotify:album:0lUL92det7mZ4DaHYmiUEC
spotify:track:1Uq3IOIy1CUlHUgP6vWpum,Smoke Break (feat. Future),Chance The Rapper,spotify:artist:1anyVhU62p31KFi8MEzkbf,Coloring Book,spotify:album:71QyofYesSsRMwFOTafnhB
spotify:track:3tRFqxTYOjeTmCiVaGDCsq,Be Alright,Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,Dangerous Woman,spotify:album:4lVR2fg3DAUQpGVJ6DciHW
spotify:track:11KJSRSgaDxqydKYiD2Jew,Too Good,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,Views,spotify:album:3hARKC8cinq3mZLLAEaBh9
spotify:track:7yCqehT9dKACTFy7YugP0J,You & Me,Marc E. Bassy,spotify:artist:3tQx1LPXbsYjE9VwN1Peaa,Gossip Columns,spotify:album:4OmqJXPhD5FOqwdg5tBsnu
spotify:track:5PnBpKOVvQxeFvXVNYSoxs,"Show Me Love (feat. Chance The Rapper, Moses Sumney and Robin Hannibal) - Skrillex Remix",Hundred Waters,spotify:artist:108ugtkRFQzP9nGgNiyERO,"Show Me Love (feat. Chance The Rapper, Moses Sumney and Robin Hannibal)",spotify:album:7pPVcx3O9eZrPCgBmpW5HV
spotify:track:5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,The Neighbourhood,spotify:artist:77SW9BnxLY8rJ0RciFqkHh,Wiped Out!,spotify:album:18iFxjZugvKhuNNMbLjZJF
spotify:track:7brQHA2CgQpcMBiOlfiXYb,Afraid,The Neighbourhood,spotify:artist:77SW9BnxLY8rJ0RciFqkHh,I Love You.,spotify:album:4xkM0BwLM9H2IUcbYzpcBI
spotify:track:4g3Ax56IslQkI6XVfYKVc5,The Less I Know The Better,Tame Impala,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Currents,spotify:album:0rxKf57PZvWEoU8v3m5W2q
spotify:track:12REd1n8PeiHHWOh066tpr,Never Be Like You,Flume,spotify:artist:6nxWCVXbOlEVRexSbLsTer,Skin,spotify:album:3zXR5GOXPq0Uc7tWC9fO3X
spotify:track:6vnDoUOHTiVB5DvX18tJon,Say It,Flume,spotify:artist:6nxWCVXbOlEVRexSbLsTer,Skin,spotify:album:2lBRNqB9iOJZFNu1JOSUBW
spotify:track:0EMmVUYs9ZZRHtlADB88uz,Come On Eileen,Dexys Midnight Runners,spotify:artist:4QTVePrFu1xuGM9K0kNXkk,Too Rye Ay,spotify:album:0QNluXFRHFyRVDiBHXmstK
spotify:track:6jrMVRReY24qzCfe1BRrww,What You Know,Two Door Cinema Club,spotify:artist:536BYVgOnRky0xjsPT96zl,Tourist History,spotify:album:0gyRFAfY08NFv7N8RTFg9M
spotify:track:2jnvdMCTvtdVCci3YLqxGY,Undercover Martyn,Two Door Cinema Club,spotify:artist:536BYVgOnRky0xjsPT96zl,Tourist History,spotify:album:0gyRFAfY08NFv7N8RTFg9M
spotify:track:3iVcZ5G6tvkXZkZKlMpIUs,Alright,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,To Pimp A Butterfly,spotify:album:7ycBtnsMtyVbbwTfJwRjSP
spotify:track:0N3W5peJUQtI4eyR6GJT5O,King Kunta,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,To Pimp A Butterfly,spotify:album:7ycBtnsMtyVbbwTfJwRjSP
spotify:track:439TlnnznSiBbQbgXiBqAd,m.A.A.d city,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,"good kid, m.A.A.d city",spotify:album:6PBZN8cbwkqm1ERj2BGXJ1
spotify:track:4zGvb8hxGLB2jEPRFiRRqw,Bonfire,Childish Gambino,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,Camp,spotify:album:4q5E2s5u5X5HT4UMJpbMKE
spotify:track:2yJ9GVCLMmzBBfQAnfzlwr,THat Part,ScHoolboy Q,spotify:artist:5IcR3N7QB1j6KBL8eImZ8m,Blank Face LP,spotify:album:0YbpATCIng8Fz2JrfHmEf7
spotify:track:34oWbFBfGEElvgO0a5c9V4,No Flockin,Kodak Black,spotify:artist:46SHBwWsqBkxI7EeeBEQG7,No Flockin,spotify:album:12YTH28wiBXQ16gvWOCMLU
spotify:track:5DA77EqppDmCTWGovd4oTP,Sex,Cheat Codes,spotify:artist:7DMveApC7UnC2NPfPvlHSU,Sex,spotify:album:1iiqWEpPshWspgGBn8ukcp
spotify:track:5dKyZWlgjWw1oJgLa4GCZD,Cool Girl,Tove Lo,spotify:artist:4NHQUGzhtTLFvgF5SZesLK,Lady Wood,spotify:album:2cX9e3renOX5bUQEXWFrJr
spotify:track:5rgrBsAFYMun6yhtnLKRPz,Right My Wrongs,Bryson Tiller,spotify:artist:2EMAnMvWE2eb56ToJVfCWs,T R A P S O U L,spotify:album:6eZdwrhB97A3EYx9QppGfl
spotify:track:1fOkmYW3ZFkkjIdOZSf596,Pink Matter,Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,channel ORANGE,spotify:album:392p3shh2jkxUxY2VHvlH8
spotify:track:4YZbVct8l9MnAVIROnLQdx,Forrest Gump,Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,channel ORANGE,spotify:album:392p3shh2jkxUxY2VHvlH8
spotify:track:0725YWm6Z0TpZ6wrNk64Eb,Super Rich Kids,Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,channel ORANGE,spotify:album:392p3shh2jkxUxY2VHvlH8
spotify:track:7DfFc7a6Rwfi3YQMRbDMau,Thinkin Bout You,Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,channel ORANGE,spotify:album:392p3shh2jkxUxY2VHvlH8
spotify:track:0k93MXOj0kSXo84SvSDeUz,Ocean Drive,Duke Dumont,spotify:artist:61lyPtntblHJvA7FMMhi7E,Ocean Drive,spotify:album:1jlUEbR1VEEGzjK47Xk1gT
spotify:track:2mk87j3RWPdzy0rWIoUP1o,Drop the Game,Flume,spotify:artist:6nxWCVXbOlEVRexSbLsTer,Drop the Game - EP,spotify:album:5XHvSgcyEK3a99SwDyvppN
spotify:track:08zJpaUQVi9FrKv2e32Bah,Planez,Jeremih,spotify:artist:3KV3p5EY4AvKxOlhGHORLg,Late Nights: The Album,spotify:album:7DMyQuDPe8xzjC0UDSDa96
spotify:track:7k6IzwMGpxnRghE7YosnXT,Me & U,Cassie,spotify:artist:27FGXRNruFoOdf1vP8dqcH,Cassie,spotify:album:0j1qzjaJmsF1FkcICf3hRu
spotify:track:2inBfDjYYj8jRHccLHJjSm,Differences,Ginuwine,spotify:artist:7r8RF1tN2A4CiGEplkp1oP,Greatest Hits,spotify:album:31a70Ny2MzfsEo2ey5hg2I
spotify:track:2YegxR5As7BeQuVp2U6pek,Be Without You,Mary J. Blige,spotify:artist:1XkoF8ryArs86LZvFOkbyr,The Breakthrough,spotify:album:5cnNuunPepqlcT0VoFdLOh
spotify:track:06iMqWThw4w8fTFyccvOwr,Ride Wit Me,Nelly,spotify:artist:2gBjLmx6zQnFGQJCAQpRgw,Country Grammar,spotify:album:2HWBPvQoaMFBF6krXyzpOv
spotify:track:3iL2l5gUqyPS6vDwJFgJTR,BedRock,Young Money,spotify:artist:5OrB6Jhhrl9y2PK0pSV4VP,We Are Young Money,spotify:album:0hDy52fqKwb2ZIjyNXGxan
spotify:track:68vgtRHr7iZHpzGpon6Jlo,My Boo,Usher,spotify:artist:23zg3TcAtWQy7J6upgbUnj,Confessions,spotify:album:1RM6MGv6bcl6NrAG8PGoZk
spotify:track:6olUplztLFFfU7fMYmFXOP,Sober,Childish Gambino,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,Kauai,spotify:album:5GBcqixIFDPEom7AUNbFiM
spotify:track:0zg5XJPiga7E5FxiehriG2,Been That Way,Bryson Tiller,spotify:artist:2EMAnMvWE2eb56ToJVfCWs,T R A P S O U L,spotify:album:6eZdwrhB97A3EYx9QppGfl
spotify:track:1snNAXmmPXCn0dkF9DaPWw,You & Me - Flume Remix,Disclosure,spotify:artist:6nS5roXSAGhTGr34W6n7Et,Settle (The Remixes),spotify:album:0QFMqnSP2kBMTrbfNkj3SB
spotify:track:068LmtzI6xJJDPfPnMje0U,Let It Happen,Tame Impala,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Currents,spotify:album:0rxKf57PZvWEoU8v3m5W2q
spotify:track:0tICYNayWWhH9GPeFrfjfD,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,Kungs,spotify:artist:7keGfmQR4X5w0two1xKZ7d,Layers,spotify:album:3nxlM2DFwij3JVP55yNRya
spotify:track:35WhawODuOs0kaHxwmPA9D,High By The Beach,Lana Del Rey,spotify:artist:00FQb4jTyendYWaN8pK0wa,Honeymoon,spotify:album:5Y0viLQMeeXfwRh2Blx3BG
spotify:track:3n69hLUdIsSa1WlRmjMZlW,Breezeblocks,alt-J,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,An Awesome Wave,spotify:album:6k3vC8nep1BfqAIJ81L6OL
spotify:track:7bLBekAdZXj48UVI0QpJbO,"Too Little, Too Late - Radio Version",JoJo,spotify:artist:5xuNBZoM7z1Vv8IQ6uM0p6,"Too Little, Too Late",spotify:album:3j4FqZqQ7wiSloLyQZqszi
spotify:track:5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,spotify:artist:4IWBUUAFIplrNtaOHcJPRM,Back from the Edge,spotify:album:7oiJYvEJHsmYtrgviAVIBD
spotify:track:2AYEOC02WLhUiOoaig2SEH,Out Of My League,Fitz and The Tantrums,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,More Than Just A Dream,spotify:album:3IWUFJCM3CvCCQIHQ4vtRK
spotify:track:1eyzqe2QqGZUmfcPZtrIyt,Midnight City,M83,spotify:artist:63MQldklfxkjYDoUE4Tppz,"Hurry Up, We're Dreaming",spotify:album:6R0ynY7RF20ofs9GJR5TXR
spotify:track:2XMTqoHHSH0lvuXrvIEdco,Capsize,FRENSHIP,spotify:artist:7xEFii6utZmQ61kX59HmLH,Truce - EP,spotify:album:5qeKpDQFyotJjLh61pUZQo
spotify:track:4b4KcovePX8Ke2cLIQTLM0,All Night,The Vamps,spotify:artist:7gAppWoH7pcYmphCVTXkzs,Night & Day,spotify:album:52bwpFP1d8uri0V5oWQLF0
spotify:track:37F0uwRSrdzkBiuj0D5UHI,Reminder,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,Starboy,spotify:album:2ODvWsOgouMbaA5xf0RkJe
spotify:track:10VBBaul4zVD0reteuIHM2,From Time,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,Nothing Was The Same,spotify:album:2gXTTQ713nCELgPOS0qWyt
spotify:track:2aksifNn5ph8igDOkPBA02,Love On The Brain,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,ANTI,spotify:album:3Q149ZH46Z0f3oDR7vlDYV
spotify:track:1PSBzsahR2AKwLJgx8ehBj,Bad Things (with Camila Cabello),Machine Gun Kelly,spotify:artist:6TIYQ3jFPwQSRmorSezPxX,bloom,spotify:album:3yWRq9Dd2UO5xyqxTjLDmp
spotify:track:0SGkqnVQo9KPytSri1H6cF,Bounce Back,Big Sean,spotify:artist:0c173mlxpT3dSFRgMO8XPh,I Decided.,spotify:album:0XAIjjN5qxViVS0Y5fYkar
spotify:track:0Zx8khUcEfCFK2AEoIhC92,Don't Leave,Snakehips,spotify:artist:2FwJwEswyIUAljqgjNSHgP,Don't Leave,spotify:album:6buSUFSCXUIj3DOH3gUoRe
spotify:track:5aAx2yezTd8zXrkmtKl66Z,Starboy,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,Starboy,spotify:album:09fggMHib4YkOtwQNXEBII
spotify:track:42et6fnHCw1HIPSrdPprMl,Semi-Charmed Life,Third Eye Blind,spotify:artist:6TcnmlCSxihzWOQJ8k0rNS,Third Eye Blind,spotify:album:2gToC0XAblE9h3UZD6aAaQ
spotify:track:20dP2DaMHIAmwWAbp7peSr,pick up the phone,Young Thug,spotify:artist:50co4Is1HCEo8bhOyUWKpn,Birds In The Trap Sing McKnight,spotify:album:42WVQWuf1teDysXiOupIZt
spotify:track:343YBumqHu19cGoGARUTsd,Fake Love,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,More Life,spotify:album:1lXY618HWkwYKJWBRYR4MK
spotify:track:2QbFClFyhMMtiurUjuQlAe,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP,Red Pill Blues,spotify:album:1Jmq5HEJeA9kNi2SgQul4U
spotify:track:4ckuS4Nj4FZ7i3Def3Br8W,Sneakin’,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,Sneakin’,spotify:album:2z3NlPY0n0gHJPCPqrzA6V
spotify:track:5KeyVNymqfqac1wLDseK8v,Fineshrine,Purity Ring,spotify:artist:1TtJ8j22Roc24e2Jx3OcU4,Shrines,spotify:album:7ppypgQppMf3mkRbZxYIFM
spotify:track:3kxfsdsCpFgN412fpnW85Y,Redbone,Childish Gambino,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,"""Awaken, My Love!""",spotify:album:4xnq1L6P551Qcb9gBXNMK7
spotify:track:3a1lNhkSLSkpJE4MSHpDu9,Congratulations,Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60,Stoney,spotify:album:5s0rmjP8XOPhP6HhqOhuyC
spotify:track:3jEPu6FD1icy9cLllhB2XK,Omen - Radio Edit,Disclosure,spotify:artist:6nS5roXSAGhTGr34W6n7Et,Omen,spotify:album:5l3jo3oe2M7KM37SIeUzLc
spotify:track:5CPqOpKSk0QcJ3dGdaWcRB,On Hold,The xx,spotify:artist:3iOvXCl6edW5Um0fXEBRXy,I See You,spotify:album:2PXy9USZAoTSdtrxfkPBnl
