song_id,song_name,artist_name,artist_uri,album_name,album_uri
spotify:track:0dPBlz8N0veeceejtuvpPz,ILYSB,LANY,spotify:artist:49tQo2QULno7gxHutgccqF,LANY,spotify:album:2hVTFTbeg9QhXGZAY99oRa
spotify:track:4cxMGhkinTocPSVVKWIw0d,Losin Control,Russ,spotify:artist:1z7b1Pr1rSlvWRzsW3HOrS,There's Really A Wolf,spotify:album:0lUL92det7mZ4DaHYmiUEC
spotify:track:1Uq3IOIy1CUlHUgP6vWpum,Smoke Break (feat. Future),Chance The Rapper,spotify:artist:1anyVhU62p31KFi8MEzkbf,Coloring Book,spotify:album:71QyofYesSsRMwFOTafnhB
spotify:track:7yCqehT9dKACTFy7YugP0J,You & Me,Marc E. Bassy,spotify:artist:3tQx1LPXbsYjE9VwN1Peaa,Gossip Columns,spotify:album:4OmqJXPhD5FOqwdg5tBsnu
spotify:track:0EMmVUYs9ZZRHtlADB88uz,Come On Eileen,Dexys Midnight Runners,spotify:artist:4QTVePrFu1xuGM9K0kNXkk,Too Rye Ay,spotify:album:0QNluXFRHFyRVDiBHXmstK
spotify:track:439TlnnznSiBbQbgXiBqAd,m.A.A.d city,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,"good kid, m.A.A.d city",spotify:album:6PBZN8cbwkqm1ERj2BGXJ1
spotify:track:5DA77EqppDmCTWGovd4oTP,Sex,Cheat Codes,spotify:artist:7DMveApC7UnC2NPfPvlHSU,Sex,spotify:album:1iiqWEpPshWspgGBn8ukcp
spotify:track:2mk87j3RWPdzy0rWIoUP1o,Drop the Game,Flume,spotify:artist:6nxWCVXbOlEVRexSbLsTer,Drop the Game - EP,spotify:album:5XHvSgcyEK3a99SwDyvppN
spotify:track:6olUplztLFFfU7fMYmFXOP,Sober,Childish Gambino,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,Kauai,spotify:album:5GBcqixIFDPEom7AUNbFiM
spotify:track:1snNAXmmPXCn0dkF9DaPWw,You & Me - Flume Remix,Disclosure,spotify:artist:6nS5roXSAGhTGr34W6n7Et,Settle (The Remixes),spotify:album:0QFMqnSP2kBMTrbfNkj3SB
spotify:track:0tICYNayWWhH9GPeFrfjfD,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,Kungs,spotify:artist:7keGfmQR4X5w0two1xKZ7d,Layers,spotify:album:3nxlM2DFwij3JVP55yNRya
spotify:track:2AYEOC02WLhUiOoaig2SEH,Out Of My League,Fitz and The Tantrums,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,More Than Just A Dream,spotify:album:3IWUFJCM3CvCCQIHQ4vtRK
spotify:track:2XMTqoHHSH0lvuXrvIEdco,Capsize,FRENSHIP,spotify:artist:7xEFii6utZmQ61kX59HmLH,Truce - EP,spotify:album:5qeKpDQFyotJjLh61pUZQo
spotify:track:10VBBaul4zVD0reteuIHM2,From Time,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,Nothing Was The Same,spotify:album:2gXTTQ713nCELgPOS0qWyt
spotify:track:0SGkqnVQo9KPytSri1H6cF,Bounce Back,Big Sean,spotify:artist:0c173mlxpT3dSFRgMO8XPh,I Decided.,spotify:album:0XAIjjN5qxViVS0Y5fYkar
spotify:track:5aAx2yezTd8zXrkmtKl66Z,Starboy,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,Starboy,spotify:album:09fggMHib4YkOtwQNXEBII
spotify:track:42et6fnHCw1HIPSrdPprMl,Semi-Charmed Life,Third Eye Blind,spotify:artist:6TcnmlCSxihzWOQJ8k0rNS,Third Eye Blind,spotify:album:2gToC0XAblE9h3UZD6aAaQ
spotify:track:3a1lNhkSLSkpJE4MSHpDu9,Congratulations,Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60,Stoney,spotify:album:5s0rmjP8XOPhP6HhqOhuyC
spotify:track:6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,Birds In The Trap Sing McKnight,spotify:album:42WVQWuf1teDysXiOupIZt
spotify:track:1CnPYaKxTVb4LWOtiGOm0m,All Time Low,Jon Bellion,spotify:artist:50JJSqHUf2RQ9xsHs0KMHg,The Human Condition,spotify:album:2e8nzTZ0HtK94IifOWgN7o
spotify:track:0Fv5N0cHBsl4bzCbollCAS,Moves,Big Sean,spotify:artist:0c173mlxpT3dSFRgMO8XPh,I Decided.,spotify:album:0XAIjjN5qxViVS0Y5fYkar
spotify:track:5GXAXm5YOmYT0kL5jHvYBt,I Feel It Coming,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,Starboy,spotify:album:4AdZV63ycxFLF6Hcol0QnB
spotify:track:0or0gNaKAXYYCsOrpvRzAu,Liability,Lorde,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,Melodrama,spotify:album:4JeJPyNnsB3tqnHR7RL5v5
spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,Electric Love,BØRNS,spotify:artist:1KP6TWI40m7p3QBTU6u2xo,Dopamine,spotify:album:17l7MIu0Jh0tdgK7or9ovw
spotify:track:4AewKenHXKBt643p473xCk,American Money,BØRNS,spotify:artist:1KP6TWI40m7p3QBTU6u2xo,Dopamine,spotify:album:17l7MIu0Jh0tdgK7or9ovw
spotify:track:2PtBhfoPZ6VYtXkrE5FrCH,Reflections,MisterWives,spotify:artist:5ivCbtrcD5N4rD337xIb2z,Our Own House,spotify:album:726GB3GTBwPdsGr5XzOQbz
